몬스터ID,몬스터명,MVP,레벨,종족,속성,드롭1,확률1,드롭2,확률2,드롭3,확률3,드롭4,확률4,드롭5,확률5,드롭6,확률6,드롭7,확률7,드롭8,확률8,MVP드롭1,MVP확률1,MVP드롭2,MVP확률2,MVP드롭3,MVP확률3
1608,Thief Bug Male,,19,곤충,어둠,,,,,,,,,,,,,,,,,,,,,,
1855,Poison Spore,,19,식물,독,Poison_Spore,90.00%,Hat_,0.20%,Green_Herb,5.50%,Gulaman,0.60%,Karvodailnirol,0.50%,Mushroom_Spore,12.00%,Zargon,0.05%,Poison_Spore_Card,0.01%,,,,,,
1971,Vadon,,19,어류,물,Crystal_Blue,0.40%,Nipper,90.00%,Garlet,30.00%,Padded_Armor_,0.10%,Solid_Shell,1.00%,Elunium_Stone,0.80%,Blue_Gemstone,0.50%,Vadon_Card,0.01%,,,,,,
1033,Elder Willow,,20,식물,불,Boody_Red,0.50%,Resin,90.00%,Wooden_Block,3.50%,Elunium_Stone,0.40%,Wooden_Mail_,0.30%,Fire_Scroll_1_3,1.00%,Branch_Of_Dead_Tree,1.00%,Elder_Wilow_Card,0.01%,,,,,,
1073,Crab,,20,어류,물,Crap_Shell,55.00%,Nipper,15.00%,Stone,7.00%,Sparkling_Dust,0.13%,Elunium_Stone,0.37%,Crab_Card,0.01%,,,,,,,,,,
1096,Angeling,,20,천사,성,Angelic_Chain,1.00%,Scapulare_,0.60%,Leaf_Of_Yggdrasil,5.00%,Spirit_Chain,0.01%,White_Herb,20.00%,Apple,0.28%,Emperium,0.40%,Angeling_Card,0.01%,,,,,,
1176,Vitata,,20,곤충,땅,Yellow_Live,0.90%,Worm_Peelings,50.00%,Scell,2.00%,Honey,3.50%,Honey,3.50%,Royal_Jelly,2.00%,Oridecon_Stone,0.26%,Vitata_Card,0.01%,,,,,,
1568,Angeling,,20,천사,성,,,,,,,,,,,,,,,,,,,,,,
1574,Elder Willow,,20,식물,불,,,,,,,,,,,,,,,,,,,,,,
1828,Gullinbrusti,,20,동물,땅,Bag_Of_Rice,60.00%,Lucky_Candy,90.00%,Lucky_Candy_Cane,80.00%,,,,,,,,,,,,,,,,
1057,Yoyo,,21,동물,땅,Yoyo_Tail,90.00%,Banana,15.00%,Yellow_Herb,2.00%,Cacao,9.00%,Monkey_Doll,0.10%,Oridecon_Stone,0.24%,Strawberry,10.00%,Yoyo_Card,0.01%,,,,,,
1114,Dustiness,,21,곤충,바람,Moth_Dust,90.00%,Wing_Of_Moth,5.00%,Masquerade,0.04%,Insect_Feeler,20.00%,Sparkling_Dust,0.10%,Red_Herb,12.00%,Dustiness_Card,0.01%,,,,,,,,
1141,Marina,,21,식물,물,Single_Cell,50.00%,Sticky_Mucus,15.00%,Crystal_Blue,0.45%,Mistic_Frozen,0.02%,Blue_Gemstone,2.00%,Deadly_Noxious_Herb,0.20%,Marina_Card,0.01%,,,,,,,,
1254,Raggler,,21,동물,바람,Cyfar,30.00%,Feather_Of_Birds,50.00%,Center_Potion,2.00%,Grape,2.00%,Wind_Of_Verdure,0.90%,Goggle_,0.07%,Oridecon_Stone,0.32%,Raggler_Card,0.01%,,,,,,
1445,Raggler,,21,동물,바람,,,,,,,,,,,,,,,,,,,,,,
1686,Orc Baby,,21,인간형,땅,Large_Jellopy,10.00%,Pacifier,1.00%,Viking_Helm,0.01%,Milk,50.00%,Milk_Bottle,2.00%,Bib,1.00%,Orc_Baby_Card,0.01%,,,,,,,,
1972,Marina,,21,식물,물,Single_Cell,50.00%,Sticky_Mucus,15.00%,Crystal_Blue,0.90%,Mistic_Frozen,0.04%,Blue_Gemstone,2.00%,Deadly_Noxious_Herb,0.40%,Marina_Card,0.01%,,,,,,,,
1034,Thara Frog,,22,어류,물,Emveretarcon,0.45%,Spawn,55.00%,Scell,6.00%,White_Herb,0.30%,Red_Jewel,0.05%,Sticky_Webfoot,20.00%,Thara_Frog_Card,0.01%,,,,,,,,
1058,Metaller,,22,곤충,불,Boody_Red,0.60%,Grasshopper's_Leg,65.00%,Scell,4.00%,Elunium_Stone,0.49%,Singing_Plant,0.20%,Shell,30.00%,Guitar_Of_Passion,0.10%,Metaller_Card,0.01%,,,,,,
1126,Goblin,,22,인간형,물,Iron,1.50%,Scell,90.00%,Wand_,0.15%,Buckler_,0.01%,Goblin_Mask_03,0.15%,Red_Herb,15.00%,Yellow_Herb,2.20%,Goblin_Card,0.01%,,,,,,
1538,Goblin,,22,인간형,물,,,,,,,,,,,,,,,,,,,,,,
1030,Anacondaq,,23,동물,독,Emveretarcon,0.50%,Posionous_Canine,90.00%,Glaive_,0.10%,Scale_Of_Snakes,15.00%,Scales_Shell,2.00%,Yellow_Herb,1.50%,Oridecon_Stone,0.50%,Anacondaq_Card,0.01%,,,,,,
1067,Cornutus,,23,어류,물,Crystal_Blue,0.45%,Conch,55.00%,Scell,8.00%,Elunium_Stone,0.53%,Shield_,0.05%,Solid_Shell,10.00%,Blue_Gemstone,1.00%,Cornutus_Card,0.01%,,,,,,
1103,Caramel,,23,동물,땅,Porcupine_Spike,90.00%,Coat_,0.05%,Animal's_Skin,55.00%,Glaive_,0.10%,Spear_,0.15%,Pike_,0.20%,Caramel_Card,0.01%,,,,,,,,
1125,Goblin,,23,인간형,땅,Yellow_Live,1.00%,Iron,1.70%,Goblin_Mask_01,0.15%,Gangster_Patch,0.03%,Smasher_,0.10%,Buckler_,0.01%,Red_Herb,15.00%,Goblin_Card,0.01%,,,,,,
1178,Zerom,,23,인간형,불,Emveretarcon,0.55%,Iron,1.90%,G_Strings,2.00%,Ganster_Mask,0.03%,Cuffs,0.10%,Iron_Ore,3.00%,Iron_Ore,3.00%,Zerom_Card,0.01%,,,,,,
1470,Zerom,,23,인간형,불,,,,,,,,,,,,,,,,,,,,,,
1537,Goblin,,23,인간형,땅,,,,,,,,,,,,,,,,,,,,,,
1627,Anopheles,,23,곤충,바람,Wing_Of_Fly,10.00%,Spawns,5.00%,Anopheles_Card,0.01%,,,,,,,,,,,,,,,,
1748,Anacondaq,,23,동물,독,,,,,,,,,,,,,,,,,,,,,,
1784,Stapo,,23,무형,땅,Jellopy,10.00%,Jubilee,10.00%,Apple,10.00%,Large_Jellopy,1.00%,Yellow_Live,0.10%,Seismic_Fist,0.03%,Stapo_Card,0.01%,,,,,,,,
1842,Snake Lord's Minion,,23,동물,독,Gold_Coin_US,35.00%,Green_Ale_US,4.00%,Treasure_Box_,0.20%,,,,,,,,,,,,,,,,
1001,Scorpion,,24,곤충,불,Boody_Red,0.70%,Scorpion's_Tail,55.00%,Elunium_Stone,0.57%,Solid_Shell,2.10%,Fine_Grit,1.00%,Yellow_Herb,2.00%,Lusty_Iron,0.20%,Scorpion_Card,0.01%,,,,,,
1023,Orc Warrior,,24,인간형,땅,Iron,2.10%,Orcish_Voucher,90.00%,Oridecon_Stone,0.40%,Cigar,0.03%,Battle_Axe_,0.10%,Orcish_Axe,0.05%,Axe,1.00%,Orc_Warrior_Card,0.01%,,,,,,
1064,Megalodon,,24,언데드,불사,Rotten_Scale,55.00%,Skel_Bone,15.00%,Blue_Herb,0.80%,Blue_Gemstone,1.20%,Violet_Jewel,0.10%,Old_Blue_Box,0.02%,Rotten_Fish,0.20%,Megalodon_Card,0.01%,,,,,,
1092,Vagabond Wolf,,24,동물,땅,Western_Grace,2.00%,Claw_Of_Wolves,80.00%,Golden_Jewel,15.00%,Star_Dust_Blade,1.00%,Angel's_Warmth,10.00%,Red_Jewel,0.10%,Monster_Juice,0.50%,Vagabond_Wolf_Card,0.01%,,,,,,
1111,Drainliar,,24,동물,어둠,Emveretarcon,0.60%,Tooth_Of_Bat,30.00%,Red_Jewel,0.20%,Red_Herb,10.00%,Wing_Of_Red_Bat,55.00%,Wing_Of_Red_Bat,15.00%,Oridecon_Stone,0.40%,Drainliar_Card,0.01%,,,,,,
1116,Eggyra,,24,무형,유령,Scell,10.00%,Egg_Shell,0.20%,Piece_Of_Egg_Shell,5.50%,Red_Herb,10.00%,Pet_Incubator,3.00%,Center_Potion,2.50%,Elunium_Stone,0.57%,Eggyra_Card,0.01%,,,,,,
1123,Goblin,,24,인간형,불,Iron,2.50%,Scell,90.00%,Indian_Hair_Piece,0.03%,Flail_,0.10%,Buckler_,0.01%,Red_Herb,15.50%,Goblini_Mask,0.03%,Goblin_Card,0.01%,,,,,,
1124,Goblin,,24,인간형,독,Iron,2.30%,Scell,90.00%,Red_Bandana,0.03%,Goblin_Mask_02,0.15%,Buckler_,0.01%,Red_Herb,15.50%,Yellow_Herb,2.20%,Goblin_Card,0.01%,,,,,,
1153,Orc Zombie,,24,언데드,불사,Nail_Of_Orc,55.00%,Sticky_Mucus,30.00%,Emperium,0.01%,Orc_Zombie_Card,0.01%,,,,,,,,,,,,,,
1235,Smoking Orc,,24,인간형,땅,Iron,2.10%,Orcish_Voucher,55.00%,Oridecon_Stone,0.40%,Cigar,0.03%,Battle_Axe_,0.10%,Orcish_Axe,0.05%,Axe,1.00%,Orc_Warrior_Card,0.01%,,,,,,
1434,Drainliar,,24,동물,어둠,,,,,,,,,,,,,,,,,,,,,,
1463,Orc Zombie,,24,언데드,불사,,,,,,,,,,,,,,,,,,,,,,
1535,Goblin,,24,인간형,불,,,,,,,,,,,,,,,,,,,,,,
1536,Goblin,,24,인간형,독,,,,,,,,,,,,,,,,,,,,,,
1559,Scorpion,,24,곤충,불,,,,,,,,,,,,,,,,,,,,,,
1588,Christmas Orc,,24,인간형,땅,Iron,2.10%,Orcish_Voucher,55.00%,Oridecon_Stone,0.40%,Packing_Paper,16.00%,Battle_Axe_,0.10%,Gift_Box,0.15%,Packing_Ribbon,16.00%,Orc_Warrior_Card,0.01%,,,,,,
1013,Wolf,,25,동물,땅,Emveretarcon,0.20%,Claw_Of_Wolves,90.00%,Mantle_,0.10%,Meat,6.50%,Monster's_Feed,10.50%,Animal's_Skin,55.00%,Strawberry,6.00%,Wolf_Card,0.01%,,,,,,
1040,Golem,,25,무형,무속성,Steel,1.50%,Stone_Heart,90.00%,Zargon,2.20%,Elunium_Stone,0.70%,Coal,2.10%,Yellow_Gemstone,2.00%,Iron,3.50%,Golem_Card,0.01%,,,,,,
1060,Bigfoot,,25,동물,땅,Bear's_Foot,90.00%,Poo_Poo_Hat,0.05%,Animal's_Skin,50.00%,Stuffed_Doll,0.80%,Sweet_Potato,15.00%,Honey,4.50%,Oridecon_Stone,0.43%,BigFoot_Card,0.01%,,,,,,
1071,Pirate Skeleton,,25,언데드,불사,Skel_Bone,30.00%,Pirate_Bandana,0.15%,Cookbook06,0.05%,Bandana,2.50%,Falchion,2.50%,Oridecon_Stone,0.43%,Well_Dried_Bone,0.20%,Pirate_Skel_Card,0.01%,,,,,,
1100,Argos,,25,곤충,독,Spiderweb,90.00%,Scell,12.00%,Short_Leg,5.00%,Elunium_Stone,0.61%,Green_Herb,6.70%,Yellow_Herb,2.50%,Bark_Shorts,0.15%,Argos_Card,0.01%,,,,,,
1122,Goblin,,25,인간형,바람,Iron,2.70%,Scell,90.00%,Oridecon_Stone,0.43%,Goblini_Mask,0.03%,Dirk_,0.10%,Buckler_,0.05%,Red_Herb,18.00%,Goblin_Card,0.01%,,,,,,
1245,Christmas Goblin,,25,인간형,바람,Packing_Ribbon,5.50%,Packing_Paper,5.50%,Oridecon_Stone,0.43%,Gift_Box,0.10%,Dirk_,0.10%,Buckler_,0.05%,Santa's_Hat,0.10%,Goblin_Card,0.01%,,,,,,
1265,Cookie,,25,인간형,무속성,Well_Baked_Cookie,10.00%,Candy_Striper,1.50%,Darkgreen_Dyestuffs,0.01%,Great_Chef_Orleans01,0.50%,Sandals_,0.30%,Holy_Scroll_1_3,1.00%,Candy,3.20%,Cookie_Card,0.01%,,,,,,
1392,Rotar Zairo,,25,무형,바람,Large_Jellopy,5.00%,Padded_Armor,0.01%,Cyfar,10.00%,Steel,4.50%,Oridecon,0.01%,Zargon,25.00%,Garlet,55.00%,Rotar_Zairo_Card,0.01%,,,,,,
1430,Argos,,25,곤충,독,,,,,,,,,,,,,,,,,,,,,,
1534,Goblin,,25,인간형,바람,,,,,,,,,,,,,,,,,,,,,,
1540,Golem,,25,무형,무속성,,,,,,,,,,,,,,,,,,,,,,
1557,Rotar Zairo,,25,무형,바람,,,,,,,,,,,,,,,,,,,,,,
1603,Bigfoot,,25,동물,땅,,,,,,,,,,,,,,,,,,,,,,
1607,Christmas Goblin,,25,인간형,바람,,,,,,,,,,,,,,,,,,,,,,
1820,Bigfoot,,25,동물,땅,Wooden_Block_,20.00%,,,,,,,,,,,,,,,,,,,,
1825,Christmas Goblin,,25,인간형,바람,Wooden_Block_,50.00%,,,,,,,,,,,,,,,,,,,,
1863,Spring Rabbit,,25,동물,땅,Peeps,50.00%,Jelly_Bean,50.00%,Marshmallow,50.00%,,,,,,,,,,,,,,,,
1118,Flora,,26,식물,땅,Blossom_Of_Maneater,90.00%,Sunflower,0.03%,Aloe,0.10%,Leaflet_Of_Aloe,0.50%,Singing_Flower,0.20%,Stem,20.00%,Witherless_Rose,0.01%,Flora_Card,0.01%,,,,,,
1127,Hode,,26,동물,땅,Yellow_Live,1.20%,Earthworm_Peeling,90.00%,Elunium_Stone,0.80%,Sticky_Mucus,30.00%,Town_Sword_,0.10%,Foolishness_Of_Blind,0.01%,Fatty_Chubby_Earthworm,0.20%,Hode_Card,0.01%,,,,,,
1138,Magnolia,,26,악마,물,Old_Frying_Pan,90.00%,Garlet,8.00%,Scell,1.00%,Zargon,0.10%,Black_Ladle,0.40%,Yellow_Herb,4.00%,High_end_Cooking_Kits,0.05%,Magnolia_Card,0.01%,,,,,,
1139,Mantis,,26,곤충,땅,Yellow_Live,1.10%,Limb_Of_Mantis,90.00%,Scell,14.00%,Elunium_Stone,0.70%,Solid_Shell,2.50%,Azure_Jewel,0.10%,Red_Herb,6.50%,Mantis_Card,0.01%,,,,,,
1158,Phen,,26,어류,물,Fish_Tail,55.00%,Sharp_Scale,20.00%,Skyblue_Jewel,0.05%,Meat,10.00%,Fin,5.00%,Oridecon_Stone,0.25%,Phen_Card,0.01%,,,,,,,,
1166,Savage,,26,동물,땅,Wild_Boar's_Mane,90.00%,Grape,3.00%,Animal_Blood,0.02%,Eagle_Eyes,0.01%,Anodyne,0.10%,Elunium_Stone,0.70%,Royal_Jelly,0.02%,Savage_Card,0.01%,,,,,,
1221,Savage,,26,동물,땅,Wild_Boar's_Mane,60.00%,Grape,1.50%,Animal_Blood,0.03%,Eagle_Eyes,0.02%,Anodyne,0.15%,Elunium_Stone,0.70%,Savage_Card,0.01%,,,,,,,,
1457,Mantis,,26,곤충,땅,,,,,,,,,,,,,,,,,,,,,,
1575,Flora,,26,식물,땅,,,,,,,,,,,,,,,,,,,,,,
1613,Metaling,,26,무형,무속성,Tube,40.00%,Iron_Ore,10.00%,Iron,5.00%,Large_Jellopy,10.00%,Screw,2.00%,Crimson_Bolt_,0.05%,Jubilee,50.00%,Metaling_Card,0.01%,,,,,,
1856,Magnolia,,26,악마,물,Old_Frying_Pan,90.00%,Garlet,8.00%,Scell,1.00%,Zargon,0.10%,Black_Ladle,0.40%,Leche_Flan,4.00%,High_end_Cooking_Kits,0.05%,Magnolia_Card,0.01%,,,,,,
1106,Desert Wolf,,27,동물,불,Katar_,0.05%,Claw_Of_Desert_Wolf,55.00%,Mink_Coat,0.01%,Meat,12.00%,Claw_Of_Wolves,20.00%,Oridecon_Stone,0.53%,Stiletto_,1.40%,Desert_Wolf_Card,0.01%,,,,,,
1220,Desert Wolf,,27,동물,불,Katar_,0.05%,Claw_Of_Desert_Wolf,55.00%,Mink_Coat,0.01%,Meat,12.00%,Claw_Of_Wolves,20.00%,Oridecon_Stone,0.53%,Desert_Wolf_Card,0.01%,,,,,,,,
1409,Dumpling Child,,27,인간형,무속성,Bamboo_Cut,32.00%,Oil_Paper,25.00%,Pierrot_Nose,0.01%,Blade_Of_Pinwheel,50.00%,Bun,10.00%,Festival_Mask,30.00%,Rice_Cake_Boy_Card,0.01%,,,,,,,,
1432,Desert Wolf,,27,동물,불,,,,,,,,,,,,,,,,,,,,,,
1821,Desert Wolf,,27,동물,불,Wooden_Block_,20.00%,,,,,,,,,,,,,,,,,,,,
1142,Marine Sphere,,28,식물,물,Tendon,50.00%,Detonator,25.00%,Chain_,0.10%,Skyblue_Jewel,0.10%,Blue_Gemstone,1.50%,Transparent_Headgear,0.10%,Marine_Sphere_Card,0.01%,,,,,,,,
1152,Orc Skeleton,,28,언데드,불사,Orcish_Cuspid,55.00%,Skel_Bone,35.00%,Elunium_Stone,0.80%,Viking_Helm,0.02%,Buster_,0.10%,Green_Herb,0.50%,Orc_Skeleton_Card,0.01%,,,,,,,,
1246,Christmas Cookie,,28,인간형,성,Well_Baked_Cookie,15.00%,Scarlet_Jewel,0.45%,Zargon,2.00%,Hood_,0.25%,Gift_Box,0.05%,Cold_Scroll_1_3,1.00%,Red_Herb,17.00%,Cookie_XMAS_Card,0.01%,,,,,,
1258,Goblin Archer,,28,인간형,독,Goblini_Mask,0.03%,Iron,2.50%,Scell,10.00%,Oridecon_Arrow,30.00%,Red_Herb,6.00%,Composite_Bow_,0.25%,Grape,3.00%,Goblin_Archer_Card,0.01%,,,,,,
1462,Orc Skeleton,,28,언데드,불사,,,,,,,,,,,,,,,,,,,,,,
1577,Goblin Archer,,28,인간형,독,,,,,,,,,,,,,,,,,,,,,,
1619,Porcellio,,28,곤충,땅,Jubilee,50.00%,Main_Gauche_,0.25%,Insect_Feeler,10.00%,Single_Cell,30.00%,Dew_Laden_Moss,0.02%,Fluorescent_Liquid,0.30%,Porcellio_Card,0.01%,,,,,,,,
1741,Christmas Cookie,,28,인간형,성,,,,,,,,,,,,,,,,,,,,,,
1904,Bomb Poring,,28,무형,무속성,,,,,,,,,,,,,,,,,,,,,,
1028,Soldier Skeleton,,29,언데드,불사,Skel_Bone,55.00%,Oridecon_Stone,0.60%,Dagger_,0.12%,Red_Herb,7.00%,Mementos,0.10%,Knife,1.50%,Stiletto,0.50%,Soldier_Skeleton_Card,0.01%,,,,,,
1121,Giearth,,29,악마,땅,Great_Nature,0.30%,Coal,1.50%,Elder_Pixie's_Beard,55.00%,Elven_Ears,0.01%,Cap_,0.10%,Sparkling_Dust,1.00%,Giearth_Card,0.01%,,,,,,,,
1562,Soldier Skeleton,,29,언데드,불사,,,,,,,,,,,,,,,,,,,,,,
1591,Lunatic,,29,동물,무속성,Orange_Potion,20.00%,,,,,,,,,,,,,,,,,,,,
1026,Munak,,30,언데드,불사,Danggie,90.00%,Munak_Turban,0.02%,Shoes_,0.15%,Amulet,0.20%,Ninja_Suit,0.01%,Adventure_Suit,1.00%,Girl's_Diary,0.05%,Munak_Card,0.01%,,,,,,
1069,Swordfish,,30,어류,물,Mistic_Frozen,0.10%,Sharp_Scale,90.00%,Oridecon_Stone,0.33%,Snowy_Horn,0.02%,Elunium_Stone,0.50%,Katana_,0.25%,Gill,6.00%,Sword_Fish_Card,0.01%,,,,,,
1119,Frilldora,,30,동물,불,Lizard_Scruff,55.00%,Elunium_Stone,0.90%,Reptile_Tongue,15.00%,Azure_Jewel,0.15%,Yellow_Gemstone,2.00%,Red_Herb,8.00%,Zargon,1.20%,Frilldora_Card,0.01%,,,,,,
1169,Skeleton Worker,,30,언데드,불사,Iron,4.00%,Lantern,55.00%,Elunium_Stone,0.90%,Safety_Helmet,0.02%,Steel,1.00%,Coal,2.00%,Iron_Ore,8.00%,Skel_Worker_Card,0.01%,,,,,,
1243,Sasquatch,,30,동물,무속성,Zargon,7.50%,White_Herb,8.00%,Feather,10.00%,Panda_Cap,0.01%,Bear's_Foot,50.00%,White_Jewel,0.30%,Elunium_Stone,0.90%,Sasquatch_Card,0.01%,,,,,,
1400,Karakasa,,30,무형,무속성,Oil_Paper,50.00%,Bamboo_Cut,42.68%,Wooden_Block,32.00%,Smooth_Paper,22.00%,Zargon,40.74%,Glass_Bead,0.30%,Murasame,0.05%,Karakasa_Card,0.01%,,,,,,
1442,Sasquatch,,30,동물,무속성,,,,,,,,,,,,,,,,,,,,,,
1469,Skeleton Worker,,30,언데드,불사,,,,,,,,,,,,,,,,,,,,,,
1544,Karakasa,,30,무형,무속성,,,,,,,,,,,,,,,,,,,,,,
1610,Munak,,30,언데드,불사,Orange_Potion,20.00%,Slow_Down_Potion,1.00%,Speed_Up_Potion,1.00%,,,,,,,,,,,,,,,,
1827,Sasquatch,,30,동물,무속성,Wooden_Block_,30.00%,,,,,,,,,,,,,,,,,,,,
1964,Nightmare,,30,동물,유령,Blue_Potion,20.00%,Blue_Herb,30.00%,Test_Certificate,50.00%,,,,,,,,,,,,,,,,
1016,Archer Skeleton,,31,언데드,불사,Skel_Bone,45.00%,Oridecon_Stone,0.70%,Apple_Of_Archer,0.03%,Great_Bow_,0.35%,Fire_Arrow,10.00%,Red_Herb,18.00%,Bow,1.50%,Archer_Skeleton_Card,0.01%,,,,,,
1044,Obeaune,,31,어류,물,Mistic_Frozen,0.13%,Heart_Of_Mermaid,90.00%,Fin_Helm,0.01%,Saint_Robe_,0.10%,Skyblue_Jewel,0.10%,Fin,5.00%,Witherless_Rose,0.30%,Obeaune_Card,0.01%,,,,,,
1134,Kobold,,31,인간형,독,Steel,1.00%,Cobold_Hair,53.35%,Zargon,2.00%,Buckler_,0.03%,Yellow_Herb,1.00%,Guard,1.00%,Kobold_Card,0.01%,,,,,,,,
1135,Kobold,,31,인간형,불,Boody_Red,0.35%,Steel,1.00%,Cobold_Hair,53.35%,Zargon,2.00%,Hammer_,0.05%,Buckler_,0.03%,Yellow_Herb,1.00%,Kobold_Card,0.01%,,,,,,
1144,Marse,,31,어류,물,Chinese_Ink,90.00%,Tentacle,30.00%,Blue_Gemstone,2.00%,Skyblue_Jewel,0.10%,Mistic_Frozen,0.12%,Penetration,0.05%,Grape,3.00%,Marse_Card,0.01%,,,,,,
1146,Matyr,,31,동물,어둠,Matyr's_Flea_Guard,0.10%,Monster's_Feed,50.00%,Animal's_Skin,55.00%,Pet_Food,4.00%,Elunium_Stone,1.00%,Grape,2.00%,Matyr_Card,0.01%,,,,,,,,
1177,Zenorc,,31,인간형,어둠,Tooth_Of_,55.00%,Oridecon_Stone,0.70%,Sticky_Mucus,25.00%,Old_Magic_Book,0.05%,Yellow_Herb,1.00%,Shining_Stone,0.20%,Zenorc_Card,0.01%,,,,,,,,
1273,Orc Lady,,31,인간형,땅,Cyfar,46.56%,Iron,3.00%,Earring,0.01%,Wedding_Veil,0.01%,High_end_Cooking_Kits,0.10%,Cookbook06,0.03%,Wedding_Dress,0.01%,Orc_Lady_Card,0.01%,,,,,,
1420,Archer Skeleton,,31,언데드,불사,,,,,,,,,,,,,,,,,,,,,,
1425,Obeaune,,31,어류,물,,,,,,,,,,,,,,,,,,,,,,
1452,Orc Lady,,31,인간형,땅,,,,,,,,,,,,,,,,,,,,,,
1460,Matyr,,31,동물,어둠,,,,,,,,,,,,,,,,,,,,,,
1546,Kobold,,31,인간형,독,,,,,,,,,,,,,,,,,,,,,,
1547,Kobold,,31,인간형,불,,,,,,,,,,,,,,,,,,,,,,
1551,Marse,,31,어류,물,,,,,,,,,,,,,,,,,,,,,,
1582,Deviling,,31,악마,어둠,Petite_DiablOfs_Wing,30.00%,Zargon,48.50%,Satanic_Chain,1.00%,Apple,50.00%,Blade_Lost_In_Darkness,0.01%,Black_Dyestuffs,1.00%,Ghost_Scroll_1_3,1.00%,Deviling_Card,0.01%,,,,,,
1782,Roween,,31,동물,바람,Rotten_Meat,30.00%,Animal's_Skin,30.00%,Wind_Of_Verdure,0.50%,Combo_Battle_Glove,0.02%,Roween_Card,0.01%,,,,,,,,,,,,
1794,Roween,,31,동물,바람,,,,,,,,,,,,,,,,,,,,,,
1970,Obeune,,31,어류,물,Mistic_Frozen,0.26%,Heart_Of_Mermaid,90.00%,Fin_Helm,0.02%,Saint_Robe_,0.20%,Skyblue_Jewel,0.20%,Fin,5.00%,Witherless_Rose,0.60%,Obeaune_Card,0.01%,,,,,,
1188,Bongun,,32,언데드,불사,Short_Daenggie,55.00%,Old_Portrait,0.40%,Worn_Out_Scroll,0.60%,Bongun_Hat,0.01%,Amulet,0.15%,Yellow_Herb,10.00%,Yellow_Herb,12.50%,Bon_Gun_Card,0.01%,,,,,,
1279,Tri Joint,,32,곤충,땅,Cyfar,1.00%,Solid_Shell,3.80%,Aloebera,2.00%,Yellow_Live,1.60%,Sparkling_Dust,1.40%,Elunium_Stone,1.06%,Tri_Joint_Card,0.01%,,,,,,,,
1415,Baby Leopard,,32,동물,유령,Leopard_Skin,52.00%,Leopard_Talon,32.00%,Oridecon_Stone,1.50%,Meat,20.00%,Dagger_,1.00%,Pet_Food,5.00%,Baby_Leopard_Card,0.01%,,,,,,,,
1454,Tri Joint,,32,곤충,땅,,,,,,,,,,,,,,,,,,,,,,
1472,Bongun,,32,언데드,불사,,,,,,,,,,,,,,,,,,,,,,
1524,Baby Leopard,,32,동물,유령,,,,,,,,,,,,,,,,,,,,,,
1611,Bongun,,32,언데드,불사,Orange_Potion,20.00%,Slow_Down_Potion,1.00%,Speed_Up_Potion,1.00%,,,,,,,,,,,,,,,,
1110,Dokebi,,33,악마,어둠,Dokkaebi_Horn,90.00%,Elunium_Stone,1.50%,Sword_Mace_,0.02%,Mighty_Staff,0.01%,Gold,0.01%,Club,3.00%,Hammer_Of_Blacksmith,0.05%,Dokebi_Card,0.01%,,,,,,
1170,Sohee,,33,악마,물,Long_Hair,90.00%,Skirt_Of_Virgin,0.50%,Nurse_Cap,0.01%,Muffler_,0.05%,Stiletto_,0.05%,Red_Herb,10.00%,Inspector_Certificate,3.50%,Sohee_Card,0.01%,,,,,,
1282,Kobold Archer,,33,인간형,불,Zargon,2.50%,Steel,0.60%,Cobold_Hair,48.50%,Ear_Of_Puppy,0.50%,Poison_Arrow,20.00%,CrossBow_,0.05%,Oridecon_Stone,0.79%,Kobold_Archer_Card,0.01%,,,,,,
1404,Miyabi Doll,,33,악마,어둠,Glossy_Hair,53.35%,Old_Japaness_Clothes,25.00%,White_Herb,15.50%,Star_Crumb,12.50%,High_end_Cooking_Kits,0.10%,Hakujin,0.05%,Mandolin_,0.02%,Miyabi_Ningyo_Card,0.01%,,,,,,
1455,Kobold Archer,,33,인간형,불,,,,,,,,,,,,,,,,,,,,,,
1491,Dokebi,,33,악마,어둠,,,,,,,,,,,,,,,,,,,,,,
1552,Miyabi Doll,,33,악마,어둠,,,,,,,,,,,,,,,,,,,,,,
1129,Horong,,34,무형,불,Stone_Heart,65.00%,Zargon,5.00%,Bomb_Wick,0.05%,Fire_Arrow,100.00%,Elunium_Stone,1.18%,Baked_Yam,0.20%,Alchol,0.50%,Horong_Card,0.01%,,,,,,
1165,Sandman,,34,무형,땅,Great_Nature,0.35%,Grit,53.35%,Elunium_Stone,1.18%,Fine_Sand,3.50%,Sparkling_Dust,2.00%,Katar_Of_Thornbush,0.01%,Hypnotist's_Staff_,0.05%,Sand_Man_Card,0.01%,,,,,,
1179,Whisper,,34,악마,유령,Sparkling_Dust,1.50%,Transparent_Cloth,53.35%,Spirit_Chain,0.01%,Silver_Robe_,0.10%,Whisper_Card,0.01%,,,,,,,,,,,,
1185,Whisper,,34,언데드,유령,Sparkling_Dust,0.10%,Transparent_Cloth,1.00%,Silver_Robe_,0.01%,,,,,,,,,,,,,,,,
1186,Giant Whisper,,34,악마,유령,Sparkling_Dust,1.50%,Transparent_Cloth,53.35%,Spirit_Chain,0.01%,Silver_Robe_,0.10%,Whisper_Boss_Card,0.01%,,,,,,,,,,,,
