ID,이름(영),무기종류,ATK,MATK,슬롯,필요레벨,무기레벨,무게,구매가,판매가,정련,사용직업,효과(요약)
13037,Valorous Assassin's Damascus,단검,120,0,0,80,3,0,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","STR+1, AGI+1"
13042,Glorious Gladius,단검,120,0,0,80,4,0,20,0,○,"알케미스트, 궁수, 어쌔신, BardDancer, 블랙스미스, 크루세이더, 헌터, 기사, Mage, 상인, 닌자, 노비스, 로그, 세이지, SoulLinker, 슈퍼노비스, 소드맨, 도둑, 위저드","bonus2 bAddRace,RC_DemiHuman,75;
bonus2 bAddRace,RC_Player_Human,75;
bonus2 bIgn"
1241,Cursed Dagger,단검,55,0,0,85,4,40,80000,0,○,"Mage, 세이지, SoulLinker, 위저드","bonus2 bAddEff,Eff_Curse,5000;
"
1534,Wrench,둔기,150,0,0,0,3,0,2,0,×,"복사, 몽크, 프리스트","bonus2 bAddEff,Eff_Blind,100;
bonus2 bAddEff,Eff_Stun,100;
bonus2 bAddEff,Eff_Po"
1536,Good Morning Star,둔기,120,0,0,0,1,0,20,0,×,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨","bonus2 bAddClass,Class_All,50;
"
1537,Refined Quadrille,둔기,193,0,0,0,4,0,1,0,×,"복사, 몽크, 프리스트","bonus2 bAddRace,RC_DemiHuman,30;
bonus2 bAddRace,RC_Player_Human,30;
bonus2 bAdd"
1547,Mace Of Madness,둔기,150,0,0,0,3,0,20,0,×,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",STR+2
1599,Angra Manyu,둔기,200,0,0,1,1,1,1,0,○,전직업,"ASPD+100%, 전스탯+50"
16002,Stunner,둔기,175,0,0,1,3,0,0,0,×,"복사, 몽크, 프리스트","bonus2 bAddEff,Eff_Stun,1000;
bonus2 bAddSize,Size_All,40;
"
1501,Club,둔기,23,0,3,2,1,70,120,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",
1502,Club,둔기,23,0,4,2,1,70,120,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",
1503,Club,둔기,23,0,0,2,1,70,120,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",
1504,Mace,둔기,37,0,3,2,1,80,1600,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",
1505,Mace,둔기,37,0,4,2,1,80,1600,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",
1506,Mace,둔기,37,0,0,2,1,80,1600,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",
1545,Novice Mace,둔기,57,0,3,2,1,0,0,0,×,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",
1507,Smasher,둔기,54,0,2,14,2,100,9000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",
1508,Smasher,둔기,54,0,3,14,2,100,9000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",
1509,Smasher,둔기,54,0,3,14,2,100,9000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",
1510,Flail,둔기,69,0,2,14,2,90,16000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1511,Flail,둔기,69,0,3,14,2,90,16000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1512,Flail,둔기,69,0,3,14,2,90,16000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1519,Chain,둔기,84,0,2,14,2,80,23000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1520,Chain,둔기,84,0,3,14,2,80,23000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1521,Chain,둔기,84,0,3,14,2,80,23000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1513,Morning Star,둔기,110,0,1,27,3,150,41000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1514,Morning Star,둔기,110,0,2,27,3,150,41000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1515,Morning Star,둔기,110,0,2,27,3,150,41000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1516,Sword Mace,둔기,130,0,0,27,3,120,50000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1517,Sword Mace,둔기,130,0,1,27,3,120,50000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1518,Sword Mace,둔기,130,0,1,27,3,120,50000,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",
1522,Stunner,둔기,140,0,0,27,3,200,60000,0,○,"복사, 몽크, 프리스트","bonus2 bAddEff,Eff_Stun,1000;
"
1532,Stunner,둔기,140,0,2,27,3,200,60000,0,○,"복사, 몽크, 프리스트","bonus2 bAddEff,Eff_Stun,1000;
"
1523,Spike,둔기,85,0,0,40,4,70,20,0,○,"복사, 몽크, 프리스트",CRIT+40
1524,Golden Mace,둔기,110,0,1,40,4,80,20,0,○,"복사, 몽크, 프리스트","bonus2 bAddRace,RC_Undead,10;
bonus bUnbreakableWeapon;
"
1525,Long Mace,둔기,135,0,0,40,4,80,20,0,○,"복사, 몽크, 프리스트","bonus bLongAtkDef,10;
"
1526,Slash,둔기,145,0,0,40,4,100,20,0,○,"복사, 몽크, 프리스트","bonus2 bAddRace,RC_Undead,15;
bonus2 bComaRace,RC_Undead,10;
bonus2 bExpAddRace,"
1527,Quadrille,둔기,165,0,0,40,4,90,20,0,○,"복사, 몽크, 프리스트","bonus2 bAddRace,RC_Undead,10;
bonus2 bAddRace,RC_DemiHuman,10;
bonus2 bAddRace,R"
1528,Grand Cross,둔기,140,0,0,40,4,150,20,0,○,"복사, 몽크, 프리스트","bonus bAtkEle,Ele_Holy;
skill ""PR_TURNUNDEAD"",3;
bonus3 bAutoSpell,""PR_TURNUNDEA"
1538,Spike,둔기,85,0,2,40,4,70,20,0,○,"복사, 몽크, 프리스트",CRIT+40
1539,Golden Mace,둔기,110,0,2,40,4,80,20,0,○,"복사, 몽크, 프리스트","bonus2 bAddRace,RC_Undead,10;
bonus bUnbreakableWeapon;
"
1540,Grand Cross,둔기,140,0,1,40,4,150,20,0,○,"복사, 몽크, 프리스트","bonus bAtkEle,Ele_Holy;
skill ""PR_TURNUNDEAD"",3;
bonus3 bAutoSpell,""PR_TURNUNDEA"
1535,Hollgrehenn's Hammer,둔기,4,0,1,44,4,4.4,4444,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨","bonus bBreakArmorRate,100;
bonus bBreakWeaponRate,100;
if (readparam(bStr)>=44) "
1533,Warrior's Balmung,둔기,170,0,0,48,4,100,20,0,○,전직업,전스탯+5
1544,Lunakaligo,둔기,110,0,3,50,3,70,20,0,○,"복사, 몽크, 프리스트",ASPD+4%
16000,Erde,둔기,130,0,2,50,3,50,20,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",MaxSP+50
16001,Red Square Bag,둔기,130,0,2,50,3,50,20,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 프리스트, 소드맨",MaxHP+200
1531,Wrench,둔기,115,0,0,55,3,250,20,0,○,"복사, 몽크, 프리스트","bonus2 bAddEff,Eff_Blind,100;
bonus2 bAddEff,Eff_Stun,100;
bonus2 bAddEff,Eff_Po"
1541,Nemesis,둔기,120,0,0,60,4,90,20,0,○,"복사, 몽크, 프리스트","bonus bAtkEle,Ele_Holy;
bonus2 bAddRace,RC_Undead,10;
bonus2 bAddRace,RC_Demon,1"
1529,Iron Driver,둔기,155,0,0,78,3,300,20,0,○,"몽크, 프리스트",
1542,Valorous Battlefield Morning Star,둔기,105,0,0,80,3,0,20,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨","STR+1, DEX+1"
1543,Brave Battlefield Morning Star,둔기,105,0,0,80,3,0,20,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨","STR+1, DEX+1"
1546,Glorious Morning Star,둔기,130,0,0,80,4,0,20,0,○,"복사, 알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 몽크, 노비스, 프리스트, 슈퍼노비스, 소드맨",ASPD+5%
1548,Veteran Hammer,둔기,160,0,2,80,3,180,10000,0,○,"복사, 몽크, 프리스트","INT+1, LUK+1"
1530,Mjolnir,둔기,250,0,0,95,4,600,20,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","STR+15, DEX+40, ASPD+10%"
1549,Pile Bunker,둔기,450,0,0,99,3,350,10000,0,○,블랙스미스,
16030,Pile Bunker S,둔기,400,0,1,130,4,300,20,0,○,블랙스미스,"bonus bAspdRate,getrefine()/2;
"
16031,Pile Bunker P,둔기,450,0,0,130,4,400,20,0,○,블랙스미스,"bonus bBaseAtk,getrefine()*5;
"
16032,Pile Bunker T,둔기,400,0,1,130,4,350,20,0,○,블랙스미스,"bonus bUseSPrate,getrefine()*-1;
"
13175,Lever Action Rifle,라이플,170,0,0,0,3,0,20,0,×,건슬링거,"HIT+20, ASPD+-5%, CRIT+50"
13150,Branch,라이플,50,0,3,1,1,50,3000,0,○,건슬링거,
13151,Cyclone,라이플,120,0,1,24,2,70,17500,0,○,건슬링거,"HIT+10, CRIT+10"
13152,Cyclone,라이플,120,0,2,24,2,70,17500,0,○,건슬링거,"HIT+10, CRIT+10"
13153,Dusk,라이플,150,0,1,56,2,75,23500,0,○,건슬링거,"HIT+10, CRIT+10"
13163,Long Barrel,라이플,150,0,0,70,3,100,40000,0,○,건슬링거,"HIT+10, ASPD+-3%, CRIT+20"
13164,Long Barrel,라이플,150,0,1,70,3,100,40000,0,○,건슬링거,"HIT+10, ASPD+-3%, CRIT+20"
13165,Jungle Carbine,라이플,170,0,0,70,3,70,56000,0,○,건슬링거,"HIT+10, ASPD+10%, CRIT+4"
13166,Jungle Carbine,라이플,170,0,1,70,3,70,56000,0,○,건슬링거,"HIT+10, ASPD+10%, CRIT+4"
13170,Lever Action Rifle,라이플,138,0,2,70,3,77,20,0,○,건슬링거,"HIT+20, ASPD+-5%, CRIT+50"
13171,Soldier Rifle,라이플,50,0,0,80,3,0,0,0,○,건슬링거,"DEX+2, HIT+10, CRIT+10"
13176,Glorious Rifle,라이플,90,0,0,80,4,0,0,0,○,건슬링거,"bonus2 bAddRace,RC_DemiHuman,75;
bonus2 bAddRace,RC_Player_Human,75;
bonus2 bIgn"
13109,Wasteland Outlaw,리볼버,100,0,0,0,3,0,20,0,×,건슬링거,"bonus bHit,readparam(bAgi)/10;
bonus bAspdRate,readparam(bAgi)/14;
bonus2 bAddCl"
13100,Six Shooter,리볼버,30,0,1,10,1,40,4500,0,○,건슬링거,HIT+-10
13101,Six Shooter,리볼버,30,0,2,10,1,40,4500,0,○,건슬링거,HIT+-10
13106,Gold Lux,리볼버,20,0,0,12,3,50,100000,0,○,건슬링거,HIT+-10
13112,Eden Revlover I,리볼버,4,0,0,26,1,0,0,0,×,건슬링거,HIT+-5
13102,Crimson Bolt,리볼버,45,0,1,35,2,45,20000,0,○,건슬링거,HIT+-10
13103,Crimson Bolt,리볼버,45,0,2,35,2,45,20000,0,○,건슬링거,HIT+-10
13113,Eden Revlover II,리볼버,60,0,0,40,1,0,0,0,×,건슬링거,HIT+-5
13104,Garrison,리볼버,70,0,1,55,2,50,48000,0,○,건슬링거,HIT+-10
13105,Garrison,리볼버,70,0,2,55,2,50,48000,0,○,건슬링거,HIT+-10
13107,Wasteland's Outlaw,리볼버,68,0,2,70,3,58,20,0,○,건슬링거,"bonus bHit,readparam(bAgi)/10;
bonus bAspdRate,readparam(bAgi)/14;
"
13108,Soldier Revolver,리볼버,70,0,0,80,3,0,0,0,○,건슬링거,"DEX+2, HIT+-10, ASPD+100%"
13110,Glorious Pistol,리볼버,80,0,0,80,4,0,0,0,○,건슬링거,"bonus2 bAddRace,RC_DemiHuman,55;
bonus2 bAddRace,RC_Player_Human,55;
bonus2 bIgn"
13154,Rolling Stone,샷건,135,0,1,14,1,90,12000,0,○,건슬링거,"bonus bSplashRange,1;
"
13156,Gate Keeper,샷건,210,0,0,24,2,100,56000,0,○,건슬링거,"bonus bSplashRange,1;
bonus3 bAutoSpell,""GS_SPREADATTACK"",6,50;
"
13155,Black Rose,샷건,180,0,1,35,2,90,32000,0,○,건슬링거,"bonus bSplashRange,1;
"
13167,Gate Keeper-DD,샷건,200,0,0,70,4,130,72000,0,○,건슬링거,DEX+1
13168,Thunder P,샷건,80,0,1,70,3,70,76000,0,○,건슬링거,"HIT+-5, ASPD+20%"
13169,Thunder P,샷건,80,0,2,70,3,70,76000,0,○,건슬링거,"HIT+-5, ASPD+20%"
13173,Soldier Shotgun,샷건,100,0,0,80,3,0,0,0,○,건슬링거,DEX+2
13178,Glorious Shotgun,샷건,110,0,0,80,4,0,0,0,○,건슬링거,"bonus2 bAddRace,RC_DemiHuman,55;
bonus2 bAddRace,RC_Player_Human,55;
bonus2 bIgn"
1921,Gun Moon Gom,악기,120,0,0,0,1,0,20,0,×,BardDancer,"bonus2 bAddClass,Class_All,50;
"
1928,Spirited Guitar,악기,40,0,0,0,4,0,0,0,×,BardDancer,ASPD+100%
1929,Guitar,악기,177,0,0,1,3,0,0,0,×,BardDancer,"bonus2 bAddSize,Size_All,40;
"
1901,Violin,악기,50,0,3,2,1,70,4000,0,○,BardDancer,
1902,Violin,악기,50,0,4,2,1,70,4000,0,○,BardDancer,
1903,Mandolin,악기,90,0,2,14,2,40,18000,0,○,BardDancer,
1904,Mandolin,악기,90,0,3,14,2,40,18000,0,○,BardDancer,
1905,Lute,악기,105,0,2,14,2,50,24500,0,○,BardDancer,
1906,Lute,악기,105,0,3,14,2,50,24500,0,○,BardDancer,
1907,Guitar,악기,142,0,0,27,3,90,47000,0,○,BardDancer,
1908,Guitar,악기,142,0,1,27,3,90,47000,0,○,BardDancer,
1909,Harp,악기,114,0,1,27,3,90,62000,0,○,BardDancer,INT+2
1910,Harp,악기,114,0,2,27,3,90,62000,0,○,BardDancer,INT+2
1911,Gumoongoh,악기,126,0,1,27,3,130,54000,0,○,BardDancer,
1912,Gumoongoh,악기,126,0,2,27,3,130,54000,0,○,BardDancer,
1914,Burning Passion Guitar,악기,110,0,0,27,3,90,20,0,○,BardDancer,"bonus bAtkEle,Ele_Fire;
"
1915,Loner's Guitar,악기,110,0,0,27,3,90,20,0,○,BardDancer,"bonus bAtkEle,Ele_Water;
"
1916,Green Acre Guitar,악기,110,0,0,27,3,90,20,0,○,BardDancer,"bonus bAtkEle,Ele_Earth;
"
1917,Gentle Breeze Guitar,악기,110,0,0,27,3,90,20,0,○,BardDancer,"bonus bAtkEle,Ele_Wind;
"
1926,Harp of Nepenthes,악기,120,0,2,60,4,100,20,0,○,BardDancer,INT+2
1918,Oriental Lute,악기,150,0,0,65,4,120,20,0,○,BardDancer,"bonus2 bSkillAtk,""CG_ARROWVULCAN"",10;
bonus2 bSkillAtk,""BA_MUSICALSTRIKE"",10;
"
1922,Oriental Lute,악기,150,0,2,65,4,120,20,0,○,BardDancer,"bonus2 bSkillAtk,""CG_ARROWVULCAN"",10;
bonus2 bSkillAtk,""BA_MUSICALSTRIKE"",10;
"
1913,Electric Guitar,악기,110,0,0,70,4,180,20,0,○,BardDancer,"AGI+1, INT+2"
1919,Bass Guitar,악기,130,0,1,70,3,150,20,0,○,BardDancer,"bonus bSPGainValue,3;
bonus4 bAutoSpellWhenHit,""WZ_HEAVENDRIVE"",3,30,1;
bonus3 b"
1920,Berserk Guitar,악기,10,0,0,70,4,180,20,0,○,BardDancer,ASPD+100%
1925,Cello,악기,110,0,3,70,3,70,20,0,○,BardDancer,"AGI+2, DEX+3"
1923,Valorous Battlefield Guitar,악기,50,0,0,80,3,0,20,0,○,BardDancer,DEX+2
1924,Brave Battlefield Guitar,악기,50,0,0,80,3,0,20,0,○,BardDancer,DEX+2
1927,Glorious Guitar,악기,50,0,0,80,4,0,20,0,○,BardDancer,"bonus2 bAddRace,RC_DemiHuman,95;
bonus2 bAddRace,RC_Player_Human,95;
bonus2 bIgn"
1174,Executioner,양손검,190,0,0,0,4,0,2,0,×,"크루세이더, 기사, 소드맨","bonus bIgnoreDefRace,RC_DemiHuman;
bonus bIgnoreDefRace,RC_Player_Human;
bonus2 "
1177,Muramash,양손검,120,0,0,0,1,0,20,0,×,"크루세이더, 기사, 소드맨","bonus2 bAddClass,Class_All,50;
"
1173,Muramasa,양손검,204,0,0,1,4,0,1,0,×,"크루세이더, 기사, 소드맨","ASPD+8%, CRIT+30"
1190,Claymore,양손검,220,0,0,1,3,0,0,0,×,"크루세이더, 기사","bonus2 bAddSize,Size_All,40;
"
1116,Katana,양손검,60,0,3,4,1,100,2000,0,○,"크루세이더, 기사, 소드맨",
1117,Katana,양손검,60,0,4,4,1,100,2000,0,○,"크루세이더, 기사, 소드맨",
1118,Katana,양손검,60,0,0,4,1,100,2000,0,○,"크루세이더, 기사, 소드맨",
1151,Slayer,양손검,90,0,2,18,2,130,15000,0,○,"크루세이더, 기사, 소드맨",
1152,Slayer,양손검,90,0,3,18,2,130,15000,0,○,"크루세이더, 기사, 소드맨",
1153,Slayer,양손검,90,0,0,18,2,130,15000,0,○,"크루세이더, 기사, 소드맨",
1154,Bastard Sword,양손검,115,0,2,18,2,160,22500,0,○,"크루세이더, 기사, 소드맨",
1155,Bastard Sword,양손검,115,0,3,18,2,160,22500,0,○,"크루세이더, 기사, 소드맨",
1156,Bastard Sword,양손검,115,0,0,18,2,160,22500,0,○,"크루세이더, 기사, 소드맨",
1157,Two-Handed Sword,양손검,160,0,1,33,3,220,60000,0,○,"크루세이더, 기사, 소드맨",
1158,Two-Handed Sword,양손검,160,0,2,33,3,220,60000,0,○,"크루세이더, 기사, 소드맨",
1159,Two-Handed Sword,양손검,160,0,0,33,3,220,60000,0,○,"크루세이더, 기사, 소드맨",
1160,Broad Sword,양손검,140,0,1,33,3,200,65000,0,○,"크루세이더, 기사, 소드맨",DEF+5
1162,Broad Sword,양손검,140,0,2,33,3,200,65000,0,○,"크루세이더, 기사, 소드맨",DEF+5
1163,Claymore,양손검,180,0,0,33,3,250,74000,0,○,"크루세이더, 기사",
1172,Claymore,양손검,180,0,2,33,3,250,74000,0,○,"크루세이더, 기사",
1161,Balmung,양손검,250,0,0,48,4,100,20,0,○,전직업,"bonus bUnbreakableWeapon;
bonus bAtkEle,Ele_Holy;
"
1164,Muramasa,양손검,155,0,0,48,4,100,20,0,○,"크루세이더, 기사, 소드맨","ASPD+8%, CRIT+30"
1165,Masamune,양손검,200,0,0,48,4,100,20,0,○,"크루세이더, 기사, 소드맨","STR+-5, FLEE+30"
1166,Dragon Slayer,양손검,150,0,0,48,4,130,20,0,○,"크루세이더, 기사, 소드맨","bonus bIgnoreDefRace,RC_Dragon;
bonus2 bAddRace,RC_Dragon,15;
"
1167,Schweizersabel,양손검,160,0,0,48,4,160,20,0,○,"크루세이더, 기사, 소드맨",DEF+1
1168,Zweihander,양손검,200,0,0,48,4,220,20,0,○,"크루세이더, 기사, 소드맨","bonus bUnbreakableWeapon;
"
1169,Executioner,양손검,155,0,0,48,4,220,20,0,○,"크루세이더, 기사, 소드맨","bonus bIgnoreDefRace,RC_DemiHuman;
bonus bIgnoreDefRace,RC_Player_Human;
bonus2 "
1170,Katzbalger,양손검,175,0,0,48,4,200,20,0,○,"크루세이더, 기사, 소드맨","VIT+5, DEF+10"
1171,Zweihander,양손검,200,0,2,48,4,220,20,0,○,"크루세이더, 기사, 소드맨","bonus bUnbreakableWeapon;
"
1178,Schweizersabel,양손검,160,0,2,48,4,160,20,0,○,"크루세이더, 기사, 소드맨",DEF+1
1179,Executioner,양손검,155,0,1,48,4,220,20,0,○,"크루세이더, 기사, 소드맨","bonus bIgnoreDefRace,RC_DemiHuman;
bonus bIgnoreDefRace,RC_Player_Human;
bonus2 "
1180,Dragon Slayer,양손검,150,0,2,48,4,130,20,0,○,"크루세이더, 기사, 소드맨","bonus bIgnoreDefRace,RC_Dragon;
bonus2 bAddRace,RC_Dragon,15;
"
1182,Bloody Eater,양손검,200,0,2,50,4,120,20,0,○,"크루세이더, 기사, 소드맨",CRIT+100
1189,Krasnaya,양손검,200,0,3,50,2,380,20,0,○,"크루세이더, 기사, 소드맨","if (readparam(bStr)>=95) {
   bonus bBaseAtk,20;
}
"
1175,Atlas Weapon,양손검,200,0,1,55,4,350,20,0,○,"크루세이더, 기사, 소드맨",CRIT+10
1176,Muscle Cutter,양손검,160,0,2,55,4,220,20,0,○,"크루세이더, 기사, 소드맨","bonus2 bAddEff,Eff_Bleeding,800;
bonus3 bAutoSpell,""AL_DECAGI"",1,30;
"
1186,Death Guidance,양손검,200,0,2,70,4,200,20,0,○,"크루세이더, 기사, 소드맨","STR+5, AGI+2"
1183,Brave Assaulter's Katzbalger,양손검,200,0,0,80,3,0,20,0,○,"크루세이더, 기사, 소드맨",STR+2
1184,Valorous Assaulter's Katzbalger,양손검,200,0,0,80,3,0,20,0,○,"크루세이더, 기사, 소드맨",CRIT+20
1185,Violet Fear,양손검,275,0,2,80,4,220,20,0,○,"크루세이더, 기사, 소드맨","bonus3 bAutoSpell,""WZ_METEOR"",3,30;
bonus3 bAutoSpell,""WZ_FROSTNOVA"",5,50;
autob"
1187,Glorious Claymore,양손검,220,0,0,80,4,0,20,0,○,"크루세이더, 기사, 소드맨","bonus2 bAddRace,RC_DemiHuman,70;
bonus2 bAddRace,RC_Player_Human,70;
bonus2 bIgn"
1188,Veteran Sword,양손검,180,0,1,80,4,200,10000,0,○,"크루세이더, 기사, 소드맨","STR+1, DEX+1"
1181,Tae Goo Lyeon,양손검,250,0,2,90,4,200,20,0,○,"크루세이더, 기사, 소드맨","bonus bFlee2,10;
if (JobLevel>=70)
   autobonus ""{ bonus bBaseAtk,50; }"",10,1000"
1314,Tomahawk,양손도끼,200,0,0,0,4,0,2,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus bAtkEle,Ele_Wind;
"
1373,Refined Bloody Axe,양손도끼,205,0,0,0,4,0,2,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","STR+20, ASPD+5%"
1374,Tomahawk,양손도끼,200,0,0,0,4,0,2,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus bAtkEle,Ele_Wind;
skill ""ITM_TOMAHAWK"",1;
"
1378,Refined Great Axe,양손도끼,215,0,0,0,4,0,1,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","STR+5, HIT+20"
1386,Doom Slayer,양손도끼,20,0,0,0,4,0,0,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",ASPD+-25%
1389,Tomahawk,양손도끼,200,0,0,0,4,0,2,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus bAtkEle,Ele_Wind;
"
1315,Light Epsilon,양손도끼,229,0,0,1,4,0,1,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",STR+10
1372,Light Epsilon,양손도끼,229,0,0,1,4,0,1,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",STR+10
1388,Two-Handed Axe,양손도끼,220,0,0,1,3,0,0,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus2 bAddSize,Size_All,40;
"
1390,Light Epsilon,양손도끼,229,0,0,1,4,0,1,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",STR+10
1351,Battle Axe,양손도끼,80,0,3,3,1,150,5400,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1352,Battle Axe,양손도끼,80,0,4,3,1,150,5400,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1353,Battle Axe,양손도끼,80,0,0,3,1,150,5400,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1381,Novice Battle Axe,양손도끼,100,0,3,3,1,0,0,0,×,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1354,Hammer,양손도끼,120,0,2,16,2,200,15500,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1355,Hammer,양손도끼,120,0,3,16,2,200,15500,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1356,Hammer,양손도끼,120,0,0,16,2,200,15500,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1357,Buster,양손도끼,155,0,1,30,3,220,34000,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1358,Buster,양손도끼,155,0,2,30,3,220,34000,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1359,Buster,양손도끼,155,0,0,30,3,220,34000,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1360,Two-Handed Axe,양손도끼,185,0,1,30,3,250,55000,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1361,Two-Handed Axe,양손도끼,185,0,2,30,3,250,55000,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1362,Two-Handed Axe,양손도끼,185,0,0,30,3,250,55000,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",
1363,Bloody Axe,양손도끼,170,0,0,44,4,400,20,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨",STR+10
1364,Great Axe,양손도끼,187,0,0,44,4,180,20,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus2 bAddSkillBlow,""MC_MAMMONITE"",5;
bonus2 bAddEff,Eff_Stun,1500;
"
1365,Sabbath,양손도끼,120,0,0,44,4,230,20,0,○,"알케미스트, 블랙스미스, 크루세이더, 기사, 상인, 소드맨","bonus bAtkEle,Ele_Dark;
bonus2 bComaRace,RC_Demon,50;
bonus2 bCriticalAddRace,RC"
